student_id,minutes_watched,days_engage,eng_quiz,eng_exam,eng_hub_qa,st_purch
258798.0,0.3,1.0,,,,
258799.0,,,,,,
258800.0,531.2,29.0,1.0,1.0,,1.0
258801.0,,,,,,
258802.0,,,,,,
258803.0,620.0,19.0,1.0,1.0,1.0,1.0
258804.0,14.2,1.0,1.0,,,
258805.0,,,,,,
258806.0,,,,,,
258807.0,1.8,1.0,,,,
258808.0,,,,,,
258809.0,53.3,3.0,1.0,,,
258810.0,3.2,1.0,,,,
258811.0,41.9,4.0,1.0,,,
258812.0,2.2,1.0,,,,
258813.0,2.1,1.0,,,,
258814.0,8.8,2.0,,,,
258815.0,29.0,1.0,,1.0,,
258816.0,0.8,1.0,,,,
258817.0,0.4,1.0,,,,
258818.0,1392.5,77.0,1.0,1.0,1.0,1.0
258819.0,6.6,1.0,1.0,,,
258820.0,,,,,,
258822.0,382.7,15.0,1.0,1.0,1.0,1.0
258823.0,,,,,,
258824.0,1.3,1.0,,,,
258825.0,,,,,,
258826.0,0.3,1.0,,,,
258827.0,0.3,1.0,,,,
258828.0,0.4,1.0,,,,
258829.0,12.5,1.0,,,,
258830.0,0.9,1.0,,,,
258831.0,0.1,1.0,,,,
258832.0,298.7,12.0,1.0,1.0,,1.0
258833.0,1.3,1.0,,,,
258834.0,21.9,1.0,1.0,,,
258835.0,,,,,,
258836.0,,,,,,
258837.0,35.7,3.0,1.0,,,
258838.0,,,,,,
258839.0,,,,,,
258840.0,42.1,2.0,1.0,,,
258841.0,0.6000000000000001,2.0,,,,
258842.0,,,,,,
258843.0,,,,,,
258844.0,,,,,,
258845.0,1556.2,23.0,1.0,1.0,,
258846.0,6.9,1.0,,,,
258847.0,,,,,,
258848.0,0.1,1.0,,,,
258849.0,12.0,1.0,1.0,,,
258850.0,,,,,,
258851.0,6.6,1.0,1.0,,,
258852.0,0.1,1.0,,,,
258853.0,,,,,,
258854.0,,,,,,
258855.0,0.2,1.0,,,,
258857.0,0.8,1.0,1.0,,,
258858.0,,,,,,
258859.0,,,,,,
258860.0,12.2,1.0,1.0,,,
258861.0,21.6,2.0,1.0,,,
258862.0,639.5,21.0,1.0,1.0,,1.0
258864.0,,,,,,
258865.0,318.5,14.0,1.0,1.0,,1.0
258866.0,,,,,,
258867.0,,,,,,
258868.0,,,,,,
258869.0,1.2,1.0,,,,
258870.0,4.7,3.0,,,,
258871.0,2.2,1.0,,,,
258872.0,63.8,1.0,1.0,1.0,,
258873.0,,,,,,
258874.0,,,,,,
258875.0,,,,,,
258876.0,73.6,5.0,1.0,,,
258877.0,,,,,,
258878.0,133.7,2.0,1.0,1.0,,1.0
258879.0,1.2,1.0,,,,
258880.0,73.2,3.0,1.0,,,
258881.0,1.9,1.0,1.0,,,
258882.0,0.5,1.0,,,,
258883.0,30.0,3.0,1.0,1.0,,1.0
258884.0,0.3,1.0,,,,
258885.0,61.7,2.0,1.0,1.0,,
258886.0,,,,,,
258887.0,0.1,1.0,,,,
258888.0,0.7,1.0,,,,
258889.0,,,,,,
258890.0,1.2,1.0,,,,
258891.0,,,,,,
258892.0,11.2,3.0,,,,
258893.0,25.3,1.0,1.0,,,
258894.0,62.0,1.0,1.0,,,
258895.0,11.2,1.0,1.0,,,
258896.0,,,,,,
258897.0,0.1,1.0,,,,
258898.0,,,,,,
258899.0,,,,,,
258900.0,,,,,,
258901.0,,,,,,
258902.0,18.9,2.0,1.0,,,
258903.0,9.3,1.0,1.0,,,
258904.0,219.0,6.0,1.0,,,
258905.0,3.6,1.0,,,,
258906.0,250.39999999999998,9.0,1.0,1.0,,
258907.0,12.3,1.0,1.0,,,
258908.0,558.8,10.0,1.0,1.0,,1.0
258909.0,,,,,,
258910.0,6.6,1.0,1.0,,,
258911.0,,,,,,
258912.0,15.5,3.0,1.0,,,
258913.0,1463.3,41.0,1.0,1.0,,1.0
258914.0,2.8,1.0,,,,
258915.0,40.599999999999994,3.0,1.0,,,
258916.0,406.5,9.0,1.0,1.0,,1.0
258917.0,6.6,1.0,1.0,,,
258919.0,,,,,,
258920.0,65.3,1.0,1.0,,,
258921.0,,,,,,
258922.0,220.9,15.0,1.0,1.0,,1.0
258924.0,363.5,9.0,1.0,,,
258925.0,6.7,1.0,,,,
258926.0,,,,,,
258927.0,5.699999999999999,2.0,,,,
258928.0,,,,,,
258929.0,43.8,2.0,1.0,1.0,,
258930.0,190.6,13.0,1.0,1.0,,1.0
258931.0,,,,,,
258932.0,,,,,,
258933.0,5.8,2.0,,,,
258934.0,,,,,,
258935.0,,,,,,
258936.0,25.5,2.0,,,,
258937.0,,,,,,
258938.0,,,,,,
258939.0,10.8,1.0,,,,
258940.0,11.1,2.0,,,,
258941.0,,,,,,
258942.0,,,,,,
258943.0,,,,,,
258944.0,,,,,,
258945.0,,,,,,
258946.0,,,,,,
258947.0,0.1,1.0,,,,
258948.0,,,,,,
258949.0,,,,,,
258950.0,,,,,,
258951.0,90.6,7.0,1.0,1.0,,
258952.0,,,,,,
258953.0,,,,,,
258954.0,3.4,1.0,,,,
258955.0,460.2,13.0,1.0,1.0,,1.0
258956.0,716.9,17.0,1.0,1.0,,1.0
258957.0,3.6,1.0,,,,
258958.0,,,,,,
258959.0,0.1,1.0,,,,
258960.0,3.4,1.0,,,,
258961.0,,,,,,
258962.0,0.1,1.0,,,,
258963.0,,,,,,
258964.0,,,,,,
258965.0,1.5,1.0,,,,
258966.0,,,,,,
258967.0,2.8,1.0,,,,
258968.0,,,,,,
258969.0,5.2,1.0,,,,
258970.0,33.9,1.0,1.0,,,
258971.0,336.2,20.0,1.0,1.0,,1.0
258973.0,20.3,1.0,,,,
258974.0,20.9,1.0,1.0,,,
258975.0,,,,,,
258976.0,,,,,,
258977.0,,,,,,
258978.0,,,,,,
258979.0,1.5,2.0,,,,
258980.0,338.7,11.0,1.0,1.0,,1.0
258981.0,,,,,,
258982.0,0.1,1.0,,,,
258983.0,,,,,,
258984.0,434.70000000000005,19.0,1.0,1.0,,1.0
258985.0,,,,,,
